movie_id,title,genres,overview,poster_url
1,The Matrix,Action|Sci-Fi,"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.","assets/images/m2.png"
2,Inception,Action|Thriller|Sci-Fi,"A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea.","assets/images/m1.jpg"
3,Interstellar,Adventure|Drama|Sci-Fi,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.","assets/images/m3.jpg"
4,The Dark Knight,Action|Crime|Drama,"Batman must accept one of the greatest psychological and physical tests when the Joker unleashes chaos in Gotham.","assets/images/m4.jpg"
5,The Shawshank Redemption,Drama|Crime,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of decency.",https://m.media-amazon.com/images/I/51NiGlapXlL._AC_.jpg
6,The Godfather,Crime|Drama,"The aging patriarch of an organized crime dynasty transfers control of his empire to his reluctant son.",https://m.media-amazon.com/images/I/41+eK8zBwQL._AC_.jpg
7,Fight Club,Drama,"An insomniac office worker and a devil-may-care soap maker form an underground fight club.",https://m.media-amazon.com/images/I/51v5ZpFyaFL._AC_.jpg
8,Pulp Fiction,Crime|Drama,"The lives of two mob hitmen, a boxer, and others intertwine in tales of violence and redemption.",https://m.media-amazon.com/images/I/71c05lTE03L._AC_SY679_.jpg
9,Forrest Gump,Drama|Romance,"The presidencies of Kennedy and Johnson, Vietnam, Watergate, and other events unfold through the perspective of a man with a low IQ.","assets/images/m5.jpg"
10,The Lord of the Rings: The Fellowship of the Ring,Adventure|Fantasy,"A meek Hobbit and his companions set out on a journey to destroy the powerful One Ring.",https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
